# Last updated: 2022-02-16T05:57:13.090Z
number,pokemon,tld,domain
289,Slaking,NG,slaki.ng
291,Ninjask,SK,ninja.sk
294,Loudred,RED,loud.red
297,Hariyama,MA,hariya.ma
299,Nosepass,SS,nosepa.ss
302,Sableye,YE,sable.ye
308,Medicham,AM,medich.am
309,Electrike,KE,electri.ke
313,Volbeat,EAT,volb.eat
313,Volbeat,AT,volbe.at
314,Illumise,SE,illumi.se
316,Gulpin,PIN,gul.pin
316,Gulpin,IN,gulp.in
319,Sharpedo,DO,sharpe.do
320,Wailmer,ER,wailm.er
323,Camerupt,PT,cameru.pt
324,Torkoal,AL,torko.al
325,Spoink,INK,spo.ink
328,Trapinch,CH,trapin.ch
329,Vibrava,VA,vibra.va
332,Cacturne,NE,cactur.ne
333,Swablu,LU,swab.lu
335,Zangoose,SE,zangoo.se
336,Seviper,ER,sevip.er
337,Lunatone,NE,lunato.ne
337,Lunatone,ONE,lunat.one
338,Solrock,CK,solro.ck
339,Barboach,CH,barboa.ch
340,Whiscash,SH,whisca.sh
340,Whiscash,CASH,whis.cash
341,Corphish,SH,corphi.sh
346,Cradily,LY,cradi.ly
347,Anorith,TH,anori.th
348,Armaldo,DO,armal.do
349,Feebas,AS,feeb.as
353,Shuppet,PET,shup.pet
353,Shuppet,ET,shupp.et
356,Dusclops,PS,dusclo.ps
357,Tropius,US,tropi.us
362,Glalie,IE,glal.ie
363,Spheal,AL,sphe.al
365,Walrein,IN,walre.in
367,Huntail,IL,hunta.il
368,Gorebyss,SS,goreby.ss
369,Relicanth,TH,relican.th
370,Luvdisc,SC,luvdi.sc
375,Metang,NG,meta.ng
376,Metagross,SS,metagro.ss
377,Regirock,CK,regiro.ck
378,Regice,ICE,reg.ice
380,Latias,AS,lati.as
382,Kyogre,RE,kyog.re
384,Rayquaza,ZA,rayqua.za
390,Chimchar,AR,chimch.ar
391,Monferno,NO,monfer.no
392,Infernape,PE,inferna.pe
396,Starly,LY,star.ly
402,Kricketune,NE,kricketu.ne
404,Luxio,IO,lux.io
407,Roserade,DE,rosera.de
412,Burmy,MY,bur.my
413,Wormadam,AM,wormad.am
414,Mothim,IM,moth.im
415,Combee,EE,comb.ee
417,Pachirisu,SU,pachiri.su
420,Cherubi,BI,cheru.bi
421,Cherrim,IM,cherr.im
424,Ambipom,OM,ambip.om
426,Drifblim,IM,drifbl.im
429,Mismagius,US,mismagi.us
432,Purugly,LY,purug.ly
433,Chingling,ING,chingl.ing
433,Chingling,NG,chingli.ng
434,Stunky,KY,stun.ky
437,Bronzong,NG,bronzo.ng
437,Bronzong,ONG,bronz.ong
438,Bonsly,LY,bons.ly
445,Garchomp,MP,garcho.mp
446,Munchlax,AX,munchl.ax
447,Riolu,LU,rio.lu
448,Lucario,IO,lucar.io
448,Lucario,RIO,luca.rio
449,Hippopotas,AS,hippopot.as
455,Carnivine,NE,carnivi.ne
458,Mantyke,KE,manty.ke
459,Snover,ER,snov.er
460,Abomasnow,NOW,abomas.now
462,Magnezone,NE,magnezo.ne
462,Magnezone,ZONE,magne.zone
462,Magnezone,ONE,magnez.one
463,Lickilicky,KY,lickilic.ky
465,Tangrowth,TH,tangrow.th
466,Electivire,RE,electivi.re
467,Magmortar,AR,magmort.ar
468,Togekiss,SS,togeki.ss
469,Yanmega,GA,yanme.ga
473,Mamoswine,NE,mamoswi.ne
473,Mamoswine,WINE,mamos.wine
475,Gallade,DE,galla.de
476,Probopass,SS,probopa.ss
477,Dusknoir,IR,duskno.ir
478,Froslass,SS,frosla.ss
479,Rotom,OM,rot.om
480,Uxie,IE,ux.ie
481,Mesprit,IT,mespr.it
483,Dialga,GA,dial.ga
484,Palkia,KIA,pal.kia
486,Regigigas,AS,regigig.as
487,Giratina,NA,girati.na
489,Phione,ONE,phi.one
489,Phione,NE,phio.ne
491,Darkrai,AI,darkr.ai
492,Shaymin,IN,shaym.in
493,Arceus,US,arce.us
493,Arceus,EUS,arc.eus
494,Victini,NI,victi.ni
496,Servine,NE,servi.ne
500,Emboar,AR,embo.ar
501,Oshawott,OTT,oshaw.ott
501,Oshawott,TT,oshawo.tt
502,Dewott,OTT,dew.ott
502,Dewott,TT,dewo.tt
503,Samurott,TT,samuro.tt
503,Samurott,OTT,samur.ott
504,Patrat,AT,patr.at
507,Herdier,ER,herdi.er
508,Stoutland,LAND,stout.land
509,Purrloin,IN,purrlo.in
511,Pansage,GE,pansa.ge
512,Simisage,GE,simisa.ge
513,Pansear,AR,panse.ar
514,Simisear,AR,simise.ar
517,Munna,NA,mun.na
518,Musharna,NA,mushar.na
519,Pidove,VE,pido.ve
524,Roggenrola,LA,roggenro.la
525,Boldore,RE,boldo.re
526,Gigalith,TH,gigali.th
527,Woobat,AT,woob.at
528,Swoobat,AT,swoob.at
531,Audino,NO,audi.no
536,Palpitoad,AD,palpito.ad
537,Seismitoad,AD,seismito.ad
543,Venipede,DE,venipe.de
544,Whirlipede,DE,whirlipe.de
545,Scolipede,DE,scolipe.de
546,Cottonee,EE,cotton.ee
547,Whimsicott,OTT,whimsic.ott
547,Whimsicott,TT,whimsico.tt
548,Petilil,IL,petil.il
550,Basculin,IN,bascul.in
556,Maractus,US,maract.us
559,Scraggy,GY,scrag.gy
561,Sigilyph,PH,sigily.ph
562,Yamask,SK,yama.sk
563,Cofagrigus,US,cofagrig.us
564,Tirtouga,GA,tirtou.ga
567,Archeops,PS,archeo.ps
568,Trubbish,SH,trubbi.sh
570,Zorua,UA,zor.ua
572,Minccino,NO,mincci.no
573,Cinccino,NO,cincci.no
577,Solosis,IS,solos.is
579,Reuniclus,US,reunicl.us
580,Ducklett,TT,duckle.tt
581,Swanna,NA,swan.na
583,Vanillish,SH,vanilli.sh
584,Vanilluxe,LUXE,vanil.luxe
585,Deerling,NG,deerli.ng
585,Deerling,ING,deerl.ing
586,Sawsbuck,CK,sawsbu.ck
587,Emolga,GA,emol.ga
588,Karrablast,ST,karrabla.st
589,Escavalier,ER,escavali.er
590,Foongus,US,foong.us
591,Amoonguss,SS,amoongu.ss
592,Frillish,SH,frilli.sh
594,Alomomola,LA,alomomo.la
596,Galvantula,LA,galvantu.la
599,Klink,INK,kl.ink
599,Klink,LINK,k.link
600,Klang,NG,kla.ng
601,Klinklang,NG,klinkla.ng
602,Tynamo,MO,tyna.mo
604,Eelektross,SS,eelektro.ss
607,Litwick,CK,litwi.ck
609,Chandelure,RE,chandelu.re
611,Fraxure,RE,fraxu.re
612,Haxorus,US,haxor.us
615,Cryogonal,AL,cryogon.al
616,Shelmet,ET,shelm.et
618,Stunfisk,SK,stunfi.sk
619,Mienfoo,FOO,mien.foo
620,Mienshao,AO,miensh.ao
622,Golett,TT,gole.tt
625,Bisharp,SHARP,bi.sharp
627,Rufflet,ET,ruffl.et
629,Vullaby,BY,vulla.by
630,Mandibuzz,BUZZ,mandi.buzz
633,Deino,NO,dei.no
634,Zweilous,US,zweilo.us
637,Volcarona,NA,volcaro.na
641,Tornadus,US,tornad.us
642,Thundurus,US,thundur.us
643,Reshiram,AM,reshir.am
644,Zekrom,OM,zekr.om
645,Landorus,US,landor.us
650,Chespin,IN,chesp.in
650,Chespin,PIN,ches.pin
651,Quilladin,IN,quillad.in
652,Chesnaught,HT,chesnaug.ht
653,Fennekin,IN,fennek.in
656,Froakie,IE,froak.ie
657,Frogadier,ER,frogadi.er
658,Greninja,NINJA,gre.ninja
659,Bunnelby,BY,bunnel.by
660,Diggersby,BY,diggers.by
661,Fletchling,NG,fletchli.ng
661,Fletchling,ING,fletchl.ing
662,Fletchinder,ER,fletchind.er
663,Talonflame,ME,talonfla.me
664,Scatterbug,UG,scatterb.ug
665,Spewpa,PA,spew.pa
668,Pyroar,AR,pyro.ar
669,Flabébé,BE,flabe.be
671,Florges,ES,florg.es
672,Skiddo,DO,skid.do
673,Gogoat,AT,gogo.at
674,Pancham,AM,panch.am
675,Pangoro,RO,pango.ro
679,Honedge,GE,honed.ge
680,Doublade,DE,doubla.de
681,Aegislash,SH,aegisla.sh
682,Spritzee,EE,spritz.ee
683,Aromatisse,SE,aromatis.se
687,Malamar,AR,malam.ar
691,Dragalge,GE,dragal.ge
692,Clauncher,ER,claunch.er
693,Clawitzer,ER,clawitz.er
695,Heliolisk,SK,helioli.sk
699,Aurorus,US,auror.us
702,Dedenne,NE,deden.ne
703,Carbink,INK,carb.ink
704,Goomy,MY,goo.my
705,Sliggoo,GOO,slig.goo
707,Klefki,KI,klef.ki
708,Phantump,MP,phantu.mp
710,Pumpkaboo,BOO,pumpka.boo
711,Gourgeist,IST,gourge.ist
711,Gourgeist,ST,gourgei.st
713,Avalugg,GG,avalu.gg
714,Noibat,AT,noib.at
716,Xerneas,AS,xerne.as
717,Yveltal,AL,yvelt.al
718,Zygarde,DE,zygar.de
719,Diancie,IE,dianc.ie
720,Hoopa,PA,hoo.pa
722,Rowlet,ET,rowl.et
724,Decidueye,YE,decidue.ye
726,Torracat,AT,torrac.at
726,Torracat,CAT,torra.cat
727,Incineroar,AR,incinero.ar
728,Popplio,IO,poppl.io
729,Brionne,NE,brion.ne
730,Primarina,NA,primari.na
736,Grubbin,IN,grubb.in
737,Charjabug,UG,charjab.ug
738,Vikavolt,LT,vikavo.lt
739,Crabrawler,ER,crabrawl.er
740,Crabominable,ABLE,crabomin.able
741,Oricorio,IO,oricor.io
741,Oricorio,RIO,orico.rio
742,Cutiefly,FLY,cutie.fly
742,Cutiefly,LY,cutief.ly
743,Ribombee,EE,ribomb.ee
747,Mareanie,IE,marean.ie
751,Dewpider,ER,dewpid.er
752,Araquanid,ID,araquan.id
753,Fomantis,IS,fomant.is
754,Lurantis,IS,lurant.is
757,Salandit,IT,saland.it
760,Bewear,AR,bewe.ar
761,Bounsweet,ET,bounswe.et
762,Steenee,EE,steen.ee
763,Tsareena,NA,tsaree.na
765,Oranguru,GURU,oran.guru
765,Oranguru,RU,orangu.ru
769,Sandygast,ST,sandyga.st
773,Silvally,LY,silval.ly
773,Silvally,ALLY,silv.ally
775,Komala,LA,koma.la
777,Togedemaru,RU,togedema.ru
779,Bruxish,SH,bruxi.sh
780,Drampa,PA,dram.pa
781,Dhelmise,SE,dhelmi.se
787,Tapu Bulu,LU,tapubu.lu
788,Tapu Fini,NI,tapufi.ni
792,Lunala,LA,luna.la
793,Nihilego,LEGO,nihi.lego
795,Pheromosa,SA,pheromo.sa
796,Xurkitree,EE,xurkitr.ee
797,Celesteela,LA,celestee.la
798,Kartana,NA,karta.na
800,Necrozma,MA,necroz.ma
801,Magearna,NA,magear.na
809,Melmetal,AL,melmet.al
812,Rillaboom,OM,rillabo.om
819,Skwovet,VET,skwo.vet
819,Skwovet,ET,skwov.et
821,Rookidee,EE,rookid.ee
822,Corvisquire,RE,corvisqui.re
823,Corviknight,HT,corviknig.ht
824,Blipbug,UG,blipb.ug
825,Dottler,ER,dottl.er
827,Nickit,IT,nick.it
830,Eldegoss,SS,eldego.ss
834,Drednaw,AW,dredn.aw
835,Yamper,ER,yamp.er
837,Rolycoly,LY,rolyco.ly
839,Coalossal,AL,coaloss.al
840,Applin,IN,appl.in
841,Flapple,APPLE,fl.apple
849,Toxtricity,CITY,toxtri.city
850,Sizzlipede,DE,sizzlipe.de
851,Centiskorch,CH,centiskor.ch
852,Clobbopus,US,clobbop.us
855,Polteageist,IST,polteage.ist
855,Polteageist,ST,polteagei.st
856,Hatenna,NA,haten.na
858,Hatterene,NE,hattere.ne
859,Impidimp,MP,impidi.mp
863,Perrserker,ER,perrserk.er
864,Cursola,LA,curso.la
866,Mr. Rime,ME,mrri.me
867,Runerigus,US,runerig.us
869,Alcremie,IE,alcrem.ie
871,Pincurchin,IN,pincurch.in
872,Snom,OM,sn.om
873,Frosmoth,TH,frosmo.th
874,Stonjourner,ER,stonjourn.er
876,Indeedee,EE,indeed.ee
880,Dracozolt,LT,dracozo.lt
881,Arctozolt,LT,arctozo.lt
882,Dracovish,SH,dracovi.sh
883,Arctovish,SH,arctovi.sh
885,Dreepy,PY,dree.py
887,Dragapult,LT,dragapu.lt
890,Eternatus,US,eternat.us
893,Zarude,DE,zaru.de
894,Regieleki,KI,regiele.ki
896,Glastrier,ER,glastri.er
897,Spectrier,ER,spectri.er
899,Wyrdeer,ER,wyrde.er
901,Ursaluna,NA,ursalu.na
903,Sneasler,ER,sneasl.er
904,Overqwil,IL,overqw.il
905,Enamorus,US,enamor.us
